itemid,name,sell_single,buy_single,price_single,stock_single,buy_rate_single,sell_rate_single,sell_stacks,buy_stacks,price_stacks,stock_stacks,buy_rate_stacks,sell_rate_stacks
624,clump_of_pamtam_kelp,0,1,9,0,0.015,0.0,0,1,112,0,0.015,0.0
648,copper_ingot,0,1,35,0,0.015,0.0,0,1,421,0,0.015,0.0
649,bronze_ingot,0,1,22,0,0.015,0.0,0,1,266,0,0.015,0.0
650,brass_ingot,0,1,58,0,0.015,0.0,0,1,702,0,0.015,0.0
651,iron_ingot,0,1,702,0,0.015,0.0,0,1,8424,0,0.015,0.0
656,beastcoin,0,1,11,0,0.015,0.0,0,1,140,0,0.015,0.0
659,tin_ingot,0,1,53,0,0.015,0.0,0,1,631,0,0.015,0.0
672,handful_of_bronze_scales,0,1,31,0,0.015,0.0,0,1,379,0,0.015,0.0
673,handful_of_brass_scales,0,1,81,0,0.015,0.0,0,1,982,0,0.015,0.0
705,piece_of_arrowwood_lumber,0,1,1,0,0.015,0.0,0,1,17,0,0.015,0.0
706,piece_of_lauan_lumber,0,1,10,0,0.015,0.0,0,1,126,0,0.015,0.0
708,piece_of_maple_lumber,0,1,17,0,0.015,0.0,0,1,210,0,0.015,0.0
711,piece_of_walnut_lumber,0,1,142,0,0.015,0.0,0,1,1712,0,0.015,0.0
712,piece_of_willow_lumber,0,1,46,0,0.015,0.0,0,1,561,0,0.015,0.0
714,piece_of_holly_lumber,0,1,189,0,0.015,0.0,0,1,2274,0,0.015,0.0
715,piece_of_ash_lumber,0,1,28,0,0.015,0.0,0,1,336,0,0.015,0.0
744,silver_ingot,0,1,409,0,0.015,0.0,0,1,4914,0,0.015,0.0
750,silver_beastcoin,0,1,32,0,0.015,0.0,0,1,393,0,0.015,0.0
764,brass_chain,0,1,64,0,0.015,0.0,0,1,772,0,0.015,0.0
768,flint_stone,0,1,6,0,0.015,0.0,0,1,70,0,0.015,0.0
769,red_rock,0,1,234,0,0.015,0.0,0,1,2808,0,0.015,0.0
770,blue_rock,0,1,234,0,0.015,0.0,0,1,2808,0,0.015,0.0
771,yellow_rock,0,1,234,0,0.015,0.0,0,1,2808,0,0.015,0.0
772,green_rock,0,1,234,0,0.015,0.0,0,1,2808,0,0.015,0.0
774,purple_rock,0,1,234,0,0.015,0.0,0,1,2808,0,0.015,0.0
775,black_rock,0,1,234,0,0.015,0.0,0,1,2808,0,0.015,0.0
