itemid,name,sell_single,buy_single,price_single,stock_single,buy_rate_single,sell_rate_single,sell_stacks,buy_stacks,price_stacks,stock_stacks,buy_rate_stacks,sell_rate_stacks
624,clump_of_pamtam_kelp,1,0,12,1,0.0,0.35,1,0,144,1,0.0,0.45
648,copper_ingot,1,0,45,1,0.0,0.35,1,0,540,1,0.0,0.45
649,bronze_ingot,1,0,29,1,0.0,0.35,1,0,342,1,0.0,0.45
650,brass_ingot,1,0,75,1,0.0,0.35,1,0,900,1,0.0,0.45
651,iron_ingot,1,0,900,1,0.0,0.35,1,0,10800,1,0.0,0.45
656,beastcoin,1,0,15,1,0.0,0.35,1,0,180,1,0.0,0.45
659,tin_ingot,1,0,68,1,0.0,0.35,1,0,810,1,0.0,0.45
672,handful_of_bronze_scales,1,0,41,1,0.0,0.35,1,0,486,1,0.0,0.45
673,handful_of_brass_scales,1,0,105,1,0.0,0.35,1,0,1260,1,0.0,0.45
705,piece_of_arrowwood_lumber,1,0,2,1,0.0,0.35,1,0,22,1,0.0,0.45
706,piece_of_lauan_lumber,1,0,14,1,0.0,0.35,1,0,162,1,0.0,0.45
708,piece_of_maple_lumber,1,0,23,1,0.0,0.35,1,0,270,1,0.0,0.45
711,piece_of_walnut_lumber,1,0,183,1,0.0,0.35,1,0,2196,1,0.0,0.45
712,piece_of_willow_lumber,1,0,60,1,0.0,0.35,1,0,720,1,0.0,0.45
714,piece_of_holly_lumber,1,0,243,1,0.0,0.35,1,0,2916,1,0.0,0.45
715,piece_of_ash_lumber,1,0,36,1,0.0,0.35,1,0,432,1,0.0,0.45
744,silver_ingot,1,0,525,1,0.0,0.35,1,0,6300,1,0.0,0.45
750,silver_beastcoin,1,0,42,1,0.0,0.35,1,0,504,1,0.0,0.45
764,brass_chain,1,0,83,1,0.0,0.35,1,0,990,1,0.0,0.45
768,flint_stone,1,0,8,1,0.0,0.35,1,0,90,1,0.0,0.45
769,red_rock,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
770,blue_rock,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
771,yellow_rock,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
772,green_rock,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
774,purple_rock,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
775,black_rock,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
776,white_rock,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
817,spool_of_grass_thread,1,0,23,1,0.0,0.35,1,0,270,1,0.0,0.45
818,spool_of_cotton_thread,1,0,60,1,0.0,0.35,1,0,720,1,0.0,0.45
824,square_of_grass_cloth,1,0,120,1,0.0,0.35,1,0,1440,1,0.0,0.45
825,square_of_cotton_cloth,1,0,240,1,0.0,0.35,1,0,2880,1,0.0,0.45
832,clump_of_sheep_wool,1,0,225,1,0.0,0.35,1,0,2700,1,0.0,0.45
846,insect_wing,1,0,30,1,0.0,0.35,1,0,360,1,0.0,0.45
850,square_of_sheep_leather,1,0,75,1,0.0,0.35,1,0,900,1,0.0,0.45
869,lizard_molt,1,0,8,1,0.0,0.35,1,0,90,1,0.0,0.45
879,square_of_karakul_leather,1,0,197,1,0.0,0.35,1,0,2364,1,0.0,0.45
882,sheep_tooth,1,0,75,1,0.0,0.35,1,0,900,1,0.0,0.45
888,seashell,1,0,45,1,0.0,0.35,1,0,540,1,0.0,0.45
891,bat_fang,1,0,12,1,0.0,0.35,1,0,144,1,0.0,0.45
913,lump_of_beeswax,1,0,45,1,0.0,0.35,1,0,540,1,0.0,0.45
925,giant_stinger,1,0,243,1,0.0,0.35,1,0,2916,1,0.0,0.45
926,lizard_tail,1,0,45,1,0.0,0.35,1,0,540,1,0.0,0.45
927,coeurl_whisker,1,0,315,1,0.0,0.35,1,0,3780,1,0.0,0.45
929,jar_of_black_ink,1,0,60,1,0.0,0.35,1,0,720,1,0.0,0.45
1156,crawler_calculus,1,0,5,1,0.0,0.35,1,0,54,1,0.0,0.45
1211,handful_of_bronze_bolt_heads,1,0,2,1,0.0,0.35,1,0,179,1,0.0,0.45
1214,handful_of_stone_arrowheads,1,0,2,1,0.0,0.35,1,0,179,1,0.0,0.45
1215,handful_of_bone_arrowheads,1,0,3,1,0.0,0.35,1,0,297,1,0.0,0.45
1216,handful_of_iron_arrowheads,1,0,8,1,0.0,0.35,1,0,743,1,0.0,0.45
1221,bag_of_chocobo_fletchings,1,0,2,1,0.0,0.35,1,0,179,1,0.0,0.45
1522,sprig_of_fresh_marjoram,1,0,2,1,0.0,0.35,1,0,22,1,0.0,0.45
1634,rhodonite,1,0,900,1,0.0,0.35,1,0,10800,1,0.0,0.45
1635,paktong_ingot,1,0,900,1,0.0,0.35,1,0,10800,1,0.0,0.45
1649,scarlet_stone,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
1655,leather_pouch,1,0,267,1,0.0,0.35,1,0,3204,1,0.0,0.45
1656,brass_tank,1,0,315,1,0.0,0.35,1,0,3780,1,0.0,0.45
1828,spool_of_red_grass_thread,1,0,93,1,0.0,0.35,1,0,1116,1,0.0,0.45
1829,square_of_red_grass_cloth,1,0,281,1,0.0,0.35,1,0,3366,1,0.0,0.45
1830,sack_of_lugworm_sand,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
1831,sack_of_little_worm_mulch,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
1882,flask_of_flaxseed_oil,1,0,140,1,0.0,0.35,1,0,1674,1,0.0,0.45
1883,ponze_of_shell_powder,1,0,84,1,0.0,0.35,1,0,1008,1,0.0,0.45
1884,pinch_of_zinc_oxide,1,0,122,1,0.0,0.35,1,0,1458,1,0.0,0.45
1973,vivio_femur,1,0,369,1,0.0,0.35,1,0,4428,1,0.0,0.45
2011,clump_of_wolf_fur,1,0,531,1,0.0,0.35,1,0,6372,1,0.0,0.45
2109,bowl_of_bittern,1,0,492,1,0.0,0.35,1,0,5904,1,0.0,0.45
2156,clump_of_imperial_tea_leaves,1,0,8,1,0.0,0.35,1,0,90,1,0.0,0.45
2164,pephredo_hive_chip,1,0,24,1,0.0,0.35,1,0,288,1,0.0,0.45
2197,chocotonic,1,0,53,1,0.0,0.2,1,0,630,1,0.0,0.25
2201,clump_of_tokopekko_wildgrass,1,0,662,1,0.0,0.35,1,0,7938,1,0.0,0.45
2203,cupid_worm,1,0,911,1,0.0,0.35,1,0,10926,1,0.0,0.45
2208,ball_of_herb_paste,1,0,1220,1,0.0,0.2,1,0,14634,1,0.0,0.25
2209,ball_of_worm_paste,1,0,1400,1,0.0,0.2,1,0,16794,1,0.0,0.25
2215,bag_of_cornstarch,1,0,30,1,0.0,0.35,1,0,360,1,0.0,0.45
2216,lamp_marimo,1,0,786,1,0.0,0.35,1,0,9432,1,0.0,0.45
2236,bag_of_simsim,1,0,119,1,0.0,0.35,1,0,1422,1,0.0,0.45
2237,bag_of_imperial_flour,1,0,23,1,0.0,0.35,1,0,270,1,0.0,0.45
2270,bag_of_coffee_cherries,1,0,119,1,0.0,0.35,1,0,1422,1,0.0,0.45
2271,bag_of_coffee_beans,1,0,119,1,0.0,0.35,1,0,1422,1,0.0,0.45
2273,bowl_of_coffee_powder,1,0,119,1,0.0,0.35,1,0,1422,1,0.0,0.45
2389,speed_apple,1,0,36,1,0.0,0.2,1,0,432,1,0.0,0.25
2390,stamina_apple,1,0,150,1,0.0,0.2,1,0,1800,1,0.0,0.25
2391,shadow_apple,1,0,113,1,0.0,0.2,1,0,1350,1,0.0,0.25
2394,gysahl_bomb,1,0,143,1,0.0,0.2,1,0,1710,1,0.0,0.25
2395,spore_bomb,1,0,368,1,0.0,0.2,1,0,4410,1,0.0,0.25
2397,foulweather_frog,1,0,18,1,0.0,0.2,1,0,216,1,0.0,0.25
2417,chunk_of_aht_urhgan_brass,1,0,123,1,0.0,0.35,1,0,1476,1,0.0,0.45
2418,aht_urhgan_brass_ingot,1,0,662,1,0.0,0.35,1,0,7938,1,0.0,0.45
2419,aht_urhgan_brass_sheet,1,0,740,1,0.0,0.35,1,0,8874,1,0.0,0.45
2507,lycopodium_flower,1,0,180,1,0.0,0.35,1,0,2160,1,0.0,0.45
2531,shard_of_obsidian,1,0,281,1,0.0,0.35,1,0,3366,1,0.0,0.45
2546,handful_of_black_bolt_heads,1,0,71,1,0.0,0.35,1,0,6980,1,0.0,0.45
2547,handful_of_obsidian_arrowheads,1,0,92,1,0.0,0.35,1,0,9059,1,0.0,0.45
2770,white_butterfly,1,0,66,1,0.0,0.35,1,0,792,1,0.0,0.45
2771,bell_cricket,1,0,66,1,0.0,0.35,1,0,792,1,0.0,0.45
2772,glowfly,1,0,66,1,0.0,0.35,1,0,792,1,0.0,0.45
3942,locust_elutriator,1,0,24,1,0.0,0.35,1,0,288,1,0.0,0.45
3965,clump_of_adoulinian_kelp,1,0,47,1,0.0,0.35,1,0,558,1,0.0,0.45
4096,fire_crystal,1,0,23,2,0.0,0.6,1,0,270,2,0.0,0.7
4097,ice_crystal,1,0,45,2,0.0,0.6,1,0,540,2,0.0,0.7
4098,wind_crystal,1,0,23,2,0.0,0.6,1,0,270,2,0.0,0.7
4099,earth_crystal,1,0,23,2,0.0,0.6,1,0,270,2,0.0,0.7
4100,lightning_crystal,1,0,45,2,0.0,0.6,1,0,540,2,0.0,0.7
4101,water_crystal,1,0,23,2,0.0,0.6,1,0,270,2,0.0,0.7
4102,light_crystal,1,0,120,2,0.0,0.6,1,0,1440,2,0.0,0.7
4103,dark_crystal,1,0,120,2,0.0,0.6,1,0,1440,2,0.0,0.7
4104,fire_cluster,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
4105,ice_cluster,1,0,600,1,0.0,0.35,1,0,7200,1,0.0,0.45
4106,wind_cluster,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
4107,earth_cluster,1,0,300,1,0.0,0.35,1,0,3600,1,0.0,0.45
4108,lightning_cluster,1,0,600,1,0.0,0.35,1,0,7200,1,0.0,0.45
