itemid,name,market_class,minimum_maturity,economic_cost,economic_floor,modeled_single_bid,modeled_stack_bid,stack_size,ahbot_sold_inputs,npc_vendor_inputs,repeatable_inputs,nonrepeatable_inputs,all_inputs_repeatable,repeatable_unit_cost,repeatable_single_ceiling,repeatable_stack_ceiling,economic_floor_conflict,bid_above_economic_cost,single_cap_required,stack_cap_required,safe_single_bid,safe_stack_bid,buy_rate_single,buy_rate_stacks,rate_semantic,disposition,disposition_reason,pilot_price_ready,catalog_change_authorized,runtime_mutation_authorized,activation_ready,auto_live_promotion
2308,mythril_coil,STAPLE,ESTABLISHED,2814.6666666666665,708.0,2195,25023,12,1,1,2,1,0,,,,0,0,0,0,2195,25023,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,PILOT_B_PRICE_READY_PARTIAL_REPEATABILITY,No fully repeatable acquisition chain exists and modeled bid does not exceed deterministic cost.,1,0,0,0,0
2311,mythril_gear_machine,STAPLE,ESTABLISHED,8385.333333333332,397.0,6540,74556,12,1,1,2,1,0,,,,0,0,0,0,6540,74556,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,PILOT_B_PRICE_READY_PARTIAL_REPEATABILITY,No fully repeatable acquisition chain exists and modeled bid does not exceed deterministic cost.,1,0,0,0,0
2360,golden_gear,STAPLE,ESTABLISHED,16235.333333333334,907.0,12663,144358,12,1,1,2,1,0,,,,0,0,0,0,12663,144358,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,PILOT_B_PRICE_READY_PARTIAL_REPEATABILITY,No fully repeatable acquisition chain exists and modeled bid does not exceed deterministic cost.,1,0,0,0,0
2710,bundle_of_soba_noodles,STAPLE,ESTABLISHED,5023.0,195.0,3917,44653,12,1,1,2,0,1,5022.5,5022.0,60270.0,0,0,0,0,3917,44653,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,PILOT_B_PRICE_READY_REPEATABLE_SAFE,Modeled bid is already below the repeatable acquisition ceiling.,1,0,0,0,0
5188,dish_of_spaghetti_peperoncino,STAPLE,GROWING,1155.5,461.0,901,10271,12,1,6,7,0,1,1737.25,1737.0,20847.0,0,0,0,0,901,10271,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,PILOT_B_PRICE_READY_REPEATABLE_SAFE,Modeled bid is already below the repeatable acquisition ceiling.,1,0,0,0,0
5189,dish_of_spaghetti_vongole_rosso,STAPLE,ESTABLISHED,1530.25,621.0,1193,13600,12,3,5,8,1,0,,,,0,0,0,0,1193,13600,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,PILOT_B_PRICE_READY_PARTIAL_REPEATABILITY,No fully repeatable acquisition chain exists and modeled bid does not exceed deterministic cost.,1,0,0,0,0
5193,dish_of_spaghetti_nero_di_seppia,STAPLE,MATURE,1693.0,661.0,1320,15048,12,3,6,9,0,1,2274.5,2274.0,27294.0,0,0,0,0,1320,15048,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,PILOT_B_PRICE_READY_REPEATABLE_SAFE,Modeled bid is already below the repeatable acquisition ceiling.,1,0,0,0,0
5213,dish_of_spaghetti_melanzane,STAPLE,GROWING,1292.75,201.0,1008,11491,12,2,6,8,1,0,,,,0,0,0,0,1008,11491,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,PILOT_B_PRICE_READY_PARTIAL_REPEATABILITY,No fully repeatable acquisition chain exists and modeled bid does not exceed deterministic cost.,1,0,0,0,0
5327,bottle_of_potion_drops,STAPLE,GROWING,244.0,333.0,333,3996,12,2,2,4,0,1,243.5,243.0,2922.0,1,1,1,1,243,2922,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,FLOOR_CONFLICT_DEFER_BUYER,Economic floor exceeds the repeatable acquisition ceiling.,0,0,0,0,0
5644,jack-o-pie,STAPLE,ADVANCED,292.05555555555554,201.0,227,2587,12,2,7,9,0,1,826.8333333333334,826.0,9922.0,0,0,0,0,227,2587,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,PILOT_B_PRICE_READY_REPEATABLE_SAFE,Modeled bid is already below the repeatable acquisition ceiling.,1,0,0,0,0
5653,cherry_muffin,STAPLE,ESTABLISHED,70.66666666666667,62.0,62,744,12,1,6,7,0,1,79.125,79.0,949.0,0,0,0,0,62,744,0.015,0.015,ONE_ROLL_PER_ITEM_FORM_PER_CYCLE,PILOT_B_PRICE_READY_REPEATABLE_SAFE,Modeled bid is already below the repeatable acquisition ceiling.,1,0,0,0,0
