itemid,name,candidate_class,candidate_reason,candidate_sell_capable,candidate_buy_capable,review_required,pricing_ready,policy_ready,activation_ready,future_activation_blocker,auto_live_promotion,current_seed_sell_allowed,current_seed_buy_allowed,current_market_class,item_type,vendor_item,has_vendor_price_floor,source_override_applied,source_override_class,source_override_types,source_override_reason,mob_source_class,has_ordinary_mob_source,has_notorious_mob_source,has_special_mob_source,craft_nq_output,craft_hq_output,restricted_nq_output,restricted_hq_output,fishing,rare,can_equip,stack_size,base_sell,rejection_reason
1,pile_of_chocobo_bedding,BLOCKED,NO_AUCTION,0,0,0,1,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,198,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NO_PRICE_ANCHOR
2,simple_bed,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,400,NOT_STACKABLE_12_OR_99
3,oak_bed,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,5000,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
4,mahogany_bed,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,10212,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
5,bronze_bed,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,1557,NOT_STACKABLE_12_OR_99
6,nobles_bed,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,12500,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
7,gold_bed,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,0,NO_AUCTION|EXCLUSIVE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
8,royal_bed,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,18700,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
21,desk,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,158,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
22,workbench,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,91,NOT_STACKABLE_12_OR_99
23,maple_table,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,158,NOT_STACKABLE_12_OR_99
