itemid,name,canonical_class,class_source,seller_policy_eligible,buyer_policy_eligible,seller_source,buyer_source,maturity,maturity_source,base_reason,overlay_reason,applied_overlays,policy_ready,pricing_ready,source_policy_family,source_gate_open,synthetic_supply_source_allowed,source_keep_protected,pricing_gate_required,live_seller_baseline,live_buyer_baseline,activation_ready,auto_live_promotion
1,pile_of_chocobo_bedding,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
2,simple_bed,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
3,oak_bed,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
4,mahogany_bed,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
5,bronze_bed,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
6,nobles_bed,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
7,gold_bed,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
8,royal_bed,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
21,desk,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
22,workbench,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
23,maple_table,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
24,oak_table,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
26,tarutaru_desk,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
28,drawing_desk,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
29,secretaire,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
30,bureau,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
32,dresser,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
33,millionaire_desk,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
43,wicker_box,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
46,armor_box,PROTECTED,candidate-market-policy,0,0,,,,,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,,unknown-provenance,0,1,ORDINARY_SOURCE,1,1,0,0,0,0,0,0
49,coffer,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
51,chest,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
54,chocobo_commode,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
55,cabinet,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
56,commode,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
57,cupboard,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
59,chiffonier,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
