itemid,name,policy_family,recommended_class,policy_reason,minimum_maturity,maturity_rule,seller_eligible,buyer_eligible,manual_review_required,vendor_item,pricing_ready,provenance_tags,activation_ready,auto_live_promotion
657,lump_of_tama-hagane,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,0,0,1,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT|NPC_VENDOR,0,0
767,carnelian,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
777,fulmenite,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
778,heliodor,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
779,aventurine,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
780,clarite,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
781,larimar,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
782,selenite,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
783,tenebrite,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
785,emerald,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT,0,0
786,ruby,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT,0,0
787,diamond,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT,0,0
788,peridot,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,0,0,1,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT|NPC_VENDOR,0,0
789,topaz,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT,0,0
790,garnet,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,0,0,1,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT|NPC_VENDOR,0,0
793,black_pearl,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,0,0,1,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT|NPC_VENDOR,0,0
794,sapphire,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT,0,0
798,turquoise,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,0,0,1,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|NPC_VENDOR,0,0
804,spinel,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT,0,0
808,goshenite,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,0,0,1,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT|NPC_VENDOR,0,0
811,ametrine,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,0,0,1,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT|NPC_VENDOR,0,0
812,deathstone,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT,0,0
813,angelstone,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT,0,0
815,sphene,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,0,0,1,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT|NPC_VENDOR,0,0
1234,iron_nugget,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,0,0,1,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT|NPC_VENDOR,0,0
1345,cursed_kabuto_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1347,cursed_togi_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
