itemid,name,item_type,stack_size,flags,ah_category,base_sell,gm_only,no_auction,scroll,can_equip,no_sale,exclusive,rare,is_equipment,is_weapon,is_usable,is_furnishing,equipment_level,equipment_ilevel,equipment_su_level,vendor_item,craft_input,craft_nq_output,craft_hq_output,desynth_input,desynth_output,restricted_craft_input,restricted_nq_output,restricted_hq_output,craft_recipe_count,craft_min_skill,craft_max_skill,craft_content_tags,fishing,fishing_skill_level,fishing_rarity,fishing_legendary,fishing_required_keyitem,fishing_quest_only,fishing_contest,fishing_disabled,mob_drop,mob_drop_list_count,mob_group_count,mob_pool_count,mob_zone_count,mob_drop_types,mob_spawn_types,mob_respawn_min,mob_respawn_max,mob_item_rate_min,mob_item_rate_max,mob_group_rate_min,mob_group_rate_max,mob_content_tags,provenance_tags,provenance_confidence,provenance_known
1,pile_of_chocobo_bedding,3,1,24660,0,198,0,1,0,0,0,1,0,0,0,0,1,,,,1,1,0,0,0,0,0,0,0,1,13.0,13.0,SOA,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_INPUT|NPC_VENDOR,HIGH,1
2,simple_bed,3,1,36,34,400,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,5.0,20.0,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
3,oak_bed,3,1,36,34,5000,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,49.0,49.0,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
4,mahogany_bed,3,1,36,34,10212,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,53.0,60.0,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
5,bronze_bed,3,1,36,34,1557,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,19.0,19.0,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
6,nobles_bed,3,1,36,34,12500,0,0,0,0,0,0,0,0,0,0,1,,,,0,1,1,1,0,0,0,0,0,5,50.0,81.0,ROTZ|WOTG,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_INPUT|CRAFT_NQ_OUTPUT,HIGH,1
7,gold_bed,3,1,28768,0,0,0,1,0,0,1,1,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
8,royal_bed,3,1,36,34,18700,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,54.0,87.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
21,desk,3,1,36,34,158,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,26.0,51.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
22,workbench,3,1,36,34,91,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,7.0,7.0,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
23,maple_table,3,1,36,34,158,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,16.0,16.0,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
24,oak_table,3,1,36,34,3120,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,1,1,0,0,0,0,0,1,40.0,40.0,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT|NPC_VENDOR,HIGH,1
26,tarutaru_desk,3,1,36,34,1500,0,0,0,0,0,0,0,0,0,0,1,,,,0,1,1,1,0,0,0,0,0,5,36.0,47.0,WOTG,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_INPUT|CRAFT_NQ_OUTPUT,HIGH,1
28,drawing_desk,3,1,57408,0,19980,0,1,0,0,0,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
29,secretaire,3,1,36,34,2418,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,65.0,65.0,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
30,bureau,3,1,36,34,7010,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,41.0,75.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
32,dresser,3,1,36,34,9120,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,1,1,0,0,0,0,0,1,31.0,85.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT|NPC_VENDOR,HIGH,1
33,millionaire_desk,3,1,36,34,24500,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,42.0,96.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
43,wicker_box,3,1,36,34,750,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,30.0,35.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
46,armor_box,3,1,4,34,1214,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NPC_VENDOR,HIGH,1
49,coffer,3,1,36,34,1278,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,1,1,0,0,0,0,0,1,11.0,63.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT|NPC_VENDOR,HIGH,1
51,chest,3,1,36,34,195,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,61.0,61.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
