itemid,name,market_class,classification_reason,base_sell_capable,base_buy_capable,review_required,current_seed_sell_allowed,current_seed_buy_allowed,legacy_market_class,vendor_item,provenance,provenance_known,rejection_reason
1,pile_of_chocobo_bedding,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,1,CRAFT_INPUT,1,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NO_PRICE_ANCHOR
2,simple_bed,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99
3,oak_bed,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
4,mahogany_bed,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
5,bronze_bed,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99
6,nobles_bed,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_INPUT|CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
7,gold_bed,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
8,royal_bed,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
21,desk,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
22,workbench,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99
23,maple_table,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99
24,oak_table,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
26,tarutaru_desk,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_INPUT|CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
28,drawing_desk,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
29,secretaire,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
30,bureau,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
32,dresser,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
33,millionaire_desk,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
43,wicker_box,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
46,armor_box,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,,0,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
49,coffer,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
51,chest,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
54,chocobo_commode,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
55,cabinet,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
56,commode,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
57,cupboard,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,1,,0,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
59,chiffonier,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
61,armoire,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
76,royal_bookshelf,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
77,bookshelf,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
86,san_dorian_holiday_tree,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
87,kadomatsu,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
88,timepiece,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
89,wastebasket,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
90,rusty_bucket,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,FISHING,1,NOT_STACKABLE_12_OR_99
91,blue_pitcher,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
92,tarutaru_stool,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
