itemid,name,phase,stack_size,ah_category,flags,base_sell,rare,scroll,can_equip,vendor_item,crystal,craft_input,nq_output,hq_output,restricted_input,restricted_nq_output,restricted_hq_output,input_min_skill,nq_min_skill,hq_min_skill,fish_skill,provenance,market_class,allowed,rejection_reason
1,pile_of_chocobo_bedding,SEED,1,0,24660,198,False,False,False,True,False,True,False,False,False,False,False,13.0,,,,CRAFT_INPUT,PROTECTED,False,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NO_PRICE_ANCHOR
2,simple_bed,SEED,1,34,36,400,False,False,False,False,False,False,True,True,False,False,False,,20.0,20.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99
3,oak_bed,SEED,1,34,36,5000,False,False,False,False,False,False,True,True,False,False,False,,49.0,49.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
4,mahogany_bed,SEED,1,34,36,10212,False,False,False,False,False,False,True,True,False,False,False,,60.0,60.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
5,bronze_bed,SEED,1,34,36,1557,False,False,False,False,False,False,True,True,False,False,False,,19.0,19.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99
6,nobles_bed,SEED,1,34,36,12500,False,False,False,False,False,True,True,True,False,False,False,81.0,78.0,78.0,,CRAFT_INPUT|CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
7,gold_bed,SEED,1,0,28768,0,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
8,royal_bed,SEED,1,34,36,18700,False,False,False,False,False,False,True,True,False,False,False,,87.0,87.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
21,desk,SEED,1,34,36,158,False,False,False,False,False,False,True,True,False,False,False,,51.0,51.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
22,workbench,SEED,1,34,36,91,False,False,False,False,False,False,True,True,False,False,False,,7.0,7.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99
23,maple_table,SEED,1,34,36,158,False,False,False,False,False,False,True,True,False,False,False,,16.0,16.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99
24,oak_table,SEED,1,34,36,3120,False,False,False,True,False,False,True,True,False,False,False,,40.0,40.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
26,tarutaru_desk,SEED,1,34,36,1500,False,False,False,False,False,True,True,True,False,False,False,47.0,36.0,36.0,,CRAFT_INPUT|CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
28,drawing_desk,SEED,1,0,57408,19980,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
29,secretaire,SEED,1,34,36,2418,False,False,False,False,False,False,True,True,False,False,False,,65.0,65.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
30,bureau,SEED,1,34,36,7010,False,False,False,False,False,False,True,True,False,False,False,,75.0,75.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
32,dresser,SEED,1,34,36,9120,False,False,False,True,False,False,True,True,False,False,False,,85.0,85.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
33,millionaire_desk,SEED,1,34,36,24500,False,False,False,False,False,False,True,True,False,False,False,,96.0,96.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
43,wicker_box,SEED,1,34,36,750,False,False,False,False,False,False,True,True,False,False,False,,35.0,35.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
46,armor_box,SEED,1,34,4,1214,False,False,False,True,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
49,coffer,SEED,1,34,36,1278,False,False,False,True,False,False,True,True,False,False,False,,63.0,63.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
51,chest,SEED,1,34,36,195,False,False,False,False,False,False,True,True,False,False,False,,61.0,61.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
54,chocobo_commode,SEED,1,0,28736,0,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
55,cabinet,SEED,1,34,36,3200,False,False,False,True,False,False,True,True,False,False,False,,81.0,81.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
56,commode,SEED,1,34,36,4900,False,False,False,False,False,False,True,True,False,False,False,,77.0,77.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
57,cupboard,SEED,1,0,24692,1965,False,False,False,True,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
59,chiffonier,SEED,1,34,36,4594,False,False,False,True,False,False,True,True,False,False,False,,73.0,73.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
61,armoire,SEED,1,34,36,12750,False,False,False,False,False,False,True,True,False,False,False,,90.0,90.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
76,royal_bookshelf,SEED,1,34,36,14625,False,False,False,False,False,False,True,True,False,False,False,,98.0,98.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
