itemid,name,keyitem_ids,keyitem_names,policy_family,recommended_class,policy_reason,minimum_maturity,synthetic_supply_eligible,buyer_eligible,manual_approval_required,pricing_ready,vendor_item,rare,can_equip,stack_size,base_sell,has_nq_recipe,hq_only,min_craft_level,max_craft_level,auto_live_promotion
726,piece_of_steel_walnut_lumber,1985,WOOD_ENSORCELLMENT,GUILD_POINT_TECHNIQUE,STAPLE,GUILD_POINT_TECHNIQUE_RESTRICTED_CRAFT_STACKABLE_COMMODITY,GROWING,1,1,0,1,0,0,0,12,60,1,0,19,19,0
870,square_of_smooth_sheep_leather,2016,LEATHER_PURIFICATION,GUILD_POINT_TECHNIQUE,STAPLE,GUILD_POINT_TECHNIQUE_RESTRICTED_CRAFT_STACKABLE_COMMODITY,GROWING,1,1,0,1,0,0,0,12,50,1,0,2,2,0
871,caliginous_wolf_hide,2016,LEATHER_PURIFICATION,GUILD_POINT_TECHNIQUE,STAPLE,GUILD_POINT_TECHNIQUE_RESTRICTED_CRAFT_STACKABLE_COMMODITY,GROWING,1,1,0,1,0,0,0,12,493,1,0,30,30,0
872,square_of_tough_dhalmel_leather,2017,LEATHER_ENSORCELLMENT,GUILD_POINT_TECHNIQUE,STAPLE,GUILD_POINT_TECHNIQUE_RESTRICTED_CRAFT_STACKABLE_COMMODITY,GROWING,1,1,0,1,0,0,0,12,466,1,0,21,21,0
873,square_of_light_ram_leather,2016,LEATHER_PURIFICATION,GUILD_POINT_TECHNIQUE,STAPLE,GUILD_POINT_TECHNIQUE_RESTRICTED_CRAFT_STACKABLE_COMMODITY,GROWING,1,1,0,1,0,0,0,12,250,1,0,35,36,0
1284,inferno_core,1993,METAL_ENSORCELLMENT,GUILD_POINT_TECHNIQUE,STAPLE,GUILD_POINT_TECHNIQUE_RESTRICTED_CRAFT_STACKABLE_COMMODITY,ADVANCED,1,1,0,1,0,0,0,12,2040,1,0,90,90,0
1285,luminous_core,1993,METAL_ENSORCELLMENT,GUILD_POINT_TECHNIQUE,STAPLE,GUILD_POINT_TECHNIQUE_RESTRICTED_CRAFT_STACKABLE_COMMODITY,ADVANCED,1,1,0,1,0,0,0,12,2080,1,0,90,90,0
1286,spirit_core,1993,METAL_ENSORCELLMENT,GUILD_POINT_TECHNIQUE,STAPLE,GUILD_POINT_TECHNIQUE_RESTRICTED_CRAFT_STACKABLE_COMMODITY,ADVANCED,1,1,0,1,0,0,0,12,2080,1,0,90,90,0
1287,frigid_core,1993,METAL_ENSORCELLMENT,GUILD_POINT_TECHNIQUE,STAPLE,GUILD_POINT_TECHNIQUE_RESTRICTED_CRAFT_STACKABLE_COMMODITY,ADVANCED,1,1,0,1,0,0,0,12,2080,1,0,90,90,0
1641,bottle_of_fire_anima,2032,ANIMA_SYNTHESIS,GUILD_POINT_TECHNIQUE,STAPLE,GUILD_POINT_TECHNIQUE_RESTRICTED_CRAFT_STACKABLE_COMMODITY,MATURE,1,1,0,1,0,0,0,99,0,1,0,75,75,0
