itemid,name,policy_family,recommended_class,policy_reason,seller_eligible,buyer_eligible,has_hard_floor,vendor_price_min,vendor_price_max,manual_review_required,source_confidence,source_signals,quest_reference_count,mission_reference_count,reward_like_reference_count,missing_item_enum_constant,internal_type,has_same_name_mirror,strong_internal_mirror,mirror_itemid,activation_ready,auto_live_promotion
8193,harlequin_head,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,QUEST_REFERENCE,1,0,0,0,4,0,0,0,0,0
8194,valoredge_x-900_head,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,0,0,0,0,0
8195,sharpshot_z-500_head,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,0,0,0,0,0
8196,stormwaker_y-700_head,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,0,0,0,0,0
8197,soulsoother_c-1000_head,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,REWARD_LIKE_REFERENCE,0,0,1,0,4,0,0,0,0,0
8198,spiritreaver_m-400_head,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,0,0,0,0,0
8224,harlequin_frame,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,QUEST_REFERENCE,1,0,0,0,4,0,0,0,0,0
8225,valoredge_x-900_frame,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,0,0,0,0,0
8226,sharpshot_z-500_frame,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,0,0,0,0,0
8227,stormwaker_y-700_frame,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,0,0,0,0,0
8449,strobe,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,1,1,2238,0,0
8450,tension_spring,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2239,0,0
8451,inhibitor,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2240,0,0
8452,tension_spring_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2241,0,0
8453,attuner,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,1,1,2322,0,0
8454,reactive_shield,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2347,0,0
8455,flame_holder,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2409,0,0
8456,heat_capacitor,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,1,1,3307,0,0
8457,strobe_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9032,0,0
8458,tension_spring_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9033,0,0
8459,inhibitor_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9065,0,0
8460,tension_spring_iv,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9131,0,0
8461,heat_capacitor_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,1,0,9132,0,0
8462,speedloader,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9229,0,0
8463,speedloader_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9230,0,0
8464,tension_spring_v,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9880,0,0
8465,magniplug,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9885,0,0
