itemid,name,vendor_price_min,vendor_price_max,has_hard_floor,priced_source_count,source_type,source_files,buyer_allowed,seller_candidate,recommended_class,manual_review_required,auto_live_promotion
4609,scroll_of_cure,67,68,1,2,LSB_SCRIPT_LITERAL_SHOP,scripts/zones/Bastok_Markets/npcs/Sororo.lua|scripts/zones/Port_San_dOria/npcs/Regine.lua|scripts/zones/Port_Windurst/npcs/Kususu.lua,0,1,SCARCE,0,0
4610,scroll_of_cure_ii,650,650,1,1,LSB_SCRIPT_LITERAL_SHOP,scripts/zones/Bastok_Markets/npcs/Sororo.lua|scripts/zones/Port_San_dOria/npcs/Regine.lua|scripts/zones/Port_Windurst/npcs/Kususu.lua|scripts/zones/Selbina/npcs/Quelpia.lua,0,1,SCARCE,0,0
4611,scroll_of_cure_iii,3624,3624,1,1,LSB_SCRIPT_LITERAL_SHOP,scripts/zones/Selbina/npcs/Quelpia.lua|scripts/zones/Windurst_Waters/npcs/Shohrun-Tuhrun.lua,0,1,SCARCE,0,0
4612,scroll_of_cure_iv,23400,23400,1,1,LSB_SCRIPT_LITERAL_SHOP,scripts/zones/Al_Zahbi/npcs/Zafif.lua|scripts/zones/Lower_Jeuno/npcs/Hasim.lua,0,1,SCARCE,0,0
4614,scroll_of_cure_vi,153410,153410,1,1,LSB_SCRIPT_LITERAL_SHOP,scripts/zones/Rabao/npcs/Brave_Ox.lua,0,1,SCARCE,0,0
4615,scroll_of_curaga,1515,1515,1,1,LSB_SCRIPT_LITERAL_SHOP,scripts/zones/Bastok_Markets/npcs/Sororo.lua|scripts/zones/Port_San_dOria/npcs/Regine.lua|scripts/zones/Port_Windurst/npcs/Kususu.lua,0,1,SCARCE,0,0
4616,scroll_of_curaga_ii,11200,11200,1,1,LSB_SCRIPT_LITERAL_SHOP,scripts/zones/Al_Zahbi/npcs/Zafif.lua|scripts/zones/Lower_Jeuno/npcs/Hasim.lua|scripts/zones/Selbina/npcs/Quelpia.lua,0,1,SCARCE,0,0
4617,scroll_of_curaga_iii,19932,19932,1,1,LSB_SCRIPT_LITERAL_SHOP,scripts/zones/Al_Zahbi/npcs/Zafif.lua|scripts/zones/Lower_Jeuno/npcs/Hasim.lua,0,1,SCARCE,0,0
4620,scroll_of_raise,5754,5754,1,1,LSB_SCRIPT_LITERAL_SHOP,scripts/zones/Selbina/npcs/Quelpia.lua|scripts/zones/Windurst_Waters/npcs/Shohrun-Tuhrun.lua,0,1,SCARCE,0,0
4622,scroll_of_poisona,200,200,1,1,LSB_SCRIPT_LITERAL_SHOP,scripts/zones/Bastok_Markets/npcs/Sororo.lua|scripts/zones/Port_San_dOria/npcs/Regine.lua|scripts/zones/Port_Windurst/npcs/Kususu.lua,0,1,SCARCE,0,0
