itemid,name,item_type,ah_category,stack_size,policy_family,acquisition_state,source_gate_open,synthetic_supply_source_allowed,pricing_gate_required,seller_source_eligible,buyer_source_eligible,keep_protected,policy_reason,prior_resolution,source_types,repository_source_families,activation_ready,auto_live_promotion
4090,dream_flower_petal,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9524,liquefaction_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9526,detonation_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9527,scission_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9528,impaction_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9529,reverberation_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9530,transfixion_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9531,compression_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9532,fusion_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9533,distortion_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9534,fragmentation_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
