itemid,constants,source_count,sources
1,PILE_OF_CHOCOBO_BEDDING,1,scripts/zones/Port_San_dOria/npcs/Albinie.lua
24,OAK_TABLE,1,scripts/zones/Northern_San_dOria/npcs/Justi.lua
32,DRESSER,1,scripts/zones/Northern_San_dOria/npcs/Justi.lua
46,ARMOR_BOX,1,scripts/zones/Northern_San_dOria/npcs/Justi.lua
49,COFFER,1,scripts/zones/Northern_San_dOria/npcs/Justi.lua
55,CABINET,1,scripts/zones/Northern_San_dOria/npcs/Justi.lua
57,CUPBOARD,1,scripts/zones/Northern_San_dOria/npcs/Justi.lua
59,CHIFFONIER,1,scripts/zones/Northern_San_dOria/npcs/Justi.lua
92,TARUTARU_STOOL,1,scripts/zones/Windurst_Waters/npcs/Ensasa.lua
93,WATER_CASK,1,scripts/zones/Northern_San_dOria/npcs/Justi.lua
104,TARUTARU_FOLDING_SCREEN,1,scripts/zones/Windurst_Waters/npcs/Ensasa.lua
107,WATER_JUG,1,scripts/zones/Rabao/npcs/Scamplix.lua
110,WHITE_JAR,1,scripts/zones/Windurst_Waters/npcs/Ensasa.lua
112,YELLOW_JAR,2,scripts/zones/Kazham/npcs/Toji_Mumosulah.lua|scripts/zones/Windurst_Waters/npcs/Ensasa.lua
114,MY_FIRST_MAGIC_KIT,1,scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua
136,SET_OF_KAISERIN_COSMETICS,1,scripts/zones/Port_Bastok/npcs/Denvihr.lua
188,COPY_OF_AUTUMNS_END_IN_GUSTABERG,1,scripts/zones/Port_Jeuno/npcs/Gekko.lua
189,COPY_OF_ACOLYTES_GRIEF,1,scripts/zones/Port_Jeuno/npcs/Gekko.lua
217,BRASS_FLOWERPOT,1,scripts/zones/Bastok_Mines/npcs/Boytz.lua
218,EARTHEN_FLOWERPOT,1,scripts/zones/Windurst_Waters/npcs/Ensasa.lua
219,CERAMIC_FLOWERPOT,1,scripts/zones/Northern_San_dOria/npcs/Pirvidiauce.lua
505,SHEEPSKIN,1,scripts/globals/shop.lua
532,MAGICMART_FLYER,2,scripts/zones/Port_San_dOria/npcs/Regine.lua|scripts/zones/Southern_San_dOria/npcs/Cletae.lua
572,BAG_OF_HERB_SEEDS,1,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua
573,BAG_OF_VEGETABLE_SEEDS,1,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua
574,BAG_OF_FRUIT_SEEDS,1,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua
575,BAG_OF_GRAIN_SEEDS,1,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua
605,PICKAXE,6,scripts/zones/Bastok_Markets_[S]/npcs/Blingbrix.lua|scripts/zones/Bastok_Mines/npcs/Boytz.lua|scripts/zones/Port_Bastok/npcs/Numa.lua|scripts/zones/Southern_San_dOria/npcs/Ostalie.lua|scripts/zones/Upper_Jeuno/npcs/Champalpieu.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua
610,BAG_OF_SAN_DORIAN_FLOUR,3,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua
611,BAG_OF_RYE_FLOUR,4,scripts/globals/shop.lua|scripts/zones/Selbina/npcs/Dohdjuma.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua
612,BUNCH_OF_KAZHAM_PEPPERS,2,scripts/globals/shop.lua|scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua
614,BULB_OF_MHAURA_GARLIC,1,scripts/globals/shop.lua
615,STICK_OF_SELBINA_BUTTER,1,scripts/globals/shop.lua
616,PIECE_OF_PIE_DOUGH,1,scripts/globals/shop.lua
617,GINGER_ROOT,1,scripts/globals/shop.lua
618,POD_OF_BLUE_PEAS,1,scripts/globals/shop.lua
619,POPOTO,1,scripts/globals/shop.lua
621,POT_OF_CRYING_MUSTARD,2,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua
622,PINCH_OF_DRIED_MARJORAM,3,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua
623,HANDFUL_OF_BAY_LEAVES,2,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Aveline.lua
625,BOTTLE_OF_APPLE_VINEGAR,2,scripts/zones/Southern_San_dOria/npcs/Aveline.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua
626,PINCH_OF_BLACK_PEPPER,2,scripts/globals/shop.lua|scripts/zones/Lower_Jeuno/npcs/Amalasanda.lua
627,POT_OF_MAPLE_SUGAR,2,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua
628,STICK_OF_CINNAMON,3,scripts/globals/shop.lua|scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua
629,EAR_OF_MILLIONCORN,3,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua
630,OGRE_PUMPKIN,1,scripts/globals/shop.lua
631,BAG_OF_HORO_FLOUR,2,scripts/globals/shop.lua|scripts/zones/Lower_Jeuno/npcs/Pawkrix.lua
632,KUKURU_BEAN,2,scripts/globals/shop.lua|scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua
633,FLASK_OF_OLIVE_OIL,2,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Aveline.lua
635,CLUMP_OF_WINDURSTIAN_TEA_LEAVES,1,scripts/globals/shop.lua
