itemid,name,vendor_reference,vendor_reference_source_count,actual_vendor_source,vendor_reference_only,priced_source_count,vendor_source_count,gated_source_count,has_hard_floor,vendor_price_min,vendor_price_max,source_types,source_files,buyer_vendor_block,seller_vendor_floor_required,seller_vendor_ready,activation_ready,auto_live_promotion
1,PILE_OF_CHOCOBO_BEDDING,1,1,1,0,1,1,1,1,1800.0,2200.0,NATION,scripts/zones/Port_San_dOria/npcs/Albinie.lua,1,1,1,0,0
24,OAK_TABLE,1,1,1,0,1,1,1,1,84240.0,102960.0,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua,1,1,1,0,0
32,DRESSER,1,1,1,0,1,1,1,1,147744.0,180576.0,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua,1,1,1,0,0
46,ARMOR_BOX,1,1,1,0,1,1,1,1,5463.0,6677.0,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua,1,1,1,0,0
49,COFFER,1,1,1,0,1,1,1,1,23004.0,28116.0,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua,1,1,1,0,0
55,CABINET,1,1,1,0,1,1,1,1,60480.0,73920.0,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua,1,1,1,0,0
57,CUPBOARD,1,1,1,0,1,1,1,1,10357.0,12658.0,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua,1,1,1,0,0
59,CHIFFONIER,1,1,1,0,1,1,1,1,49615.0,60640.0,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua,1,1,1,0,0
92,TARUTARU_STOOL,1,1,1,0,1,1,1,1,885.0,1082.0,NATION,scripts/zones/Windurst_Waters/npcs/Ensasa.lua,1,1,1,0,0
93,WATER_CASK,1,1,1,0,1,1,1,1,337.0,412.0,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua,1,1,1,0,0
104,TARUTARU_FOLDING_SCREEN,1,1,1,0,1,1,1,1,3458.0,4227.0,NATION,scripts/zones/Windurst_Waters/npcs/Ensasa.lua,1,1,1,0,0
107,WATER_JUG,1,1,1,0,1,1,0,1,180.0,220.0,GENERAL_FAME,scripts/zones/Rabao/npcs/Scamplix.lua,1,1,1,0,0
110,WHITE_JAR,1,1,1,0,1,1,1,1,4671.0,5709.0,NATION,scripts/zones/Windurst_Waters/npcs/Ensasa.lua,1,1,1,0,0
112,YELLOW_JAR,1,2,1,0,2,2,1,1,446.0,545.0,GENERAL_FAME|NATION,scripts/zones/Kazham/npcs/Toji_Mumosulah.lua|scripts/zones/Windurst_Waters/npcs/Ensasa.lua,1,1,1,0,0
114,MY_FIRST_MAGIC_KIT,1,1,1,0,1,1,1,1,1800.0,2200.0,NATION,scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua,1,1,1,0,0
136,SET_OF_KAISERIN_COSMETICS,1,1,1,0,1,1,1,1,1800.0,2200.0,NATION,scripts/zones/Port_Bastok/npcs/Denvihr.lua,1,1,1,0,0
188,COPY_OF_AUTUMNS_END_IN_GUSTABERG,1,1,1,0,1,1,0,1,36000.0,36000.0,GENERAL,scripts/zones/Port_Jeuno/npcs/Gekko.lua,1,1,1,0,0
189,COPY_OF_ACOLYTES_GRIEF,1,1,1,0,1,1,0,1,31224.0,31224.0,GENERAL,scripts/zones/Port_Jeuno/npcs/Gekko.lua,1,1,1,0,0
217,BRASS_FLOWERPOT,1,1,1,0,1,1,1,1,900.0,1100.0,NATION,scripts/zones/Bastok_Mines/npcs/Boytz.lua,1,1,1,0,0
