itemid,name,vendor_price_min,vendor_price_max,has_hard_floor,priced_source_count,vendor_source_count,gated_source_count,source_types,source_files
1,PILE_OF_CHOCOBO_BEDDING,1800,2200,1,1,1,1,NATION,scripts/zones/Port_San_dOria/npcs/Albinie.lua
24,OAK_TABLE,84240,102960,1,1,1,1,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua
32,DRESSER,147744,180576,1,1,1,1,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua
46,ARMOR_BOX,5463,6677,1,1,1,1,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua
49,COFFER,23004,28116,1,1,1,1,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua
55,CABINET,60480,73920,1,1,1,1,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua
57,CUPBOARD,10357,12658,1,1,1,1,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua
59,CHIFFONIER,49615,60640,1,1,1,1,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua
92,TARUTARU_STOOL,885,1082,1,1,1,1,NATION,scripts/zones/Windurst_Waters/npcs/Ensasa.lua
93,WATER_CASK,337,412,1,1,1,1,NATION,scripts/zones/Northern_San_dOria/npcs/Justi.lua
104,TARUTARU_FOLDING_SCREEN,3458,4227,1,1,1,1,NATION,scripts/zones/Windurst_Waters/npcs/Ensasa.lua
107,WATER_JUG,180,220,1,1,1,0,GENERAL_FAME,scripts/zones/Rabao/npcs/Scamplix.lua
110,WHITE_JAR,4671,5709,1,1,1,1,NATION,scripts/zones/Windurst_Waters/npcs/Ensasa.lua
112,YELLOW_JAR,446,545,1,2,2,1,GENERAL_FAME|NATION,scripts/zones/Kazham/npcs/Toji_Mumosulah.lua|scripts/zones/Windurst_Waters/npcs/Ensasa.lua
114,MY_FIRST_MAGIC_KIT,1800,2200,1,1,1,1,NATION,scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua
136,SET_OF_KAISERIN_COSMETICS,1800,2200,1,1,1,1,NATION,scripts/zones/Port_Bastok/npcs/Denvihr.lua
188,COPY_OF_AUTUMNS_END_IN_GUSTABERG,36000,36000,1,1,1,0,GENERAL,scripts/zones/Port_Jeuno/npcs/Gekko.lua
189,COPY_OF_ACOLYTES_GRIEF,31224,31224,1,1,1,0,GENERAL,scripts/zones/Port_Jeuno/npcs/Gekko.lua
217,BRASS_FLOWERPOT,900,1100,1,1,1,1,NATION,scripts/zones/Bastok_Mines/npcs/Boytz.lua
218,EARTHEN_FLOWERPOT,900,1100,1,1,1,1,NATION,scripts/zones/Windurst_Waters/npcs/Ensasa.lua
219,CERAMIC_FLOWERPOT,900,1100,1,1,1,1,NATION,scripts/zones/Northern_San_dOria/npcs/Pirvidiauce.lua
505,SHEEPSKIN,100,100,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
532,MAGICMART_FLYER,,,0,0,0,0,,scripts/zones/Port_San_dOria/npcs/Regine.lua|scripts/zones/Southern_San_dOria/npcs/Cletae.lua
572,BAG_OF_HERB_SEEDS,280,280,1,1,1,0,GENERAL,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua
573,BAG_OF_VEGETABLE_SEEDS,280,280,1,1,1,0,GENERAL,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua
574,BAG_OF_FRUIT_SEEDS,320,320,1,1,1,0,GENERAL,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua
575,BAG_OF_GRAIN_SEEDS,280,280,1,1,1,0,GENERAL,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua
605,PICKAXE,180,220,1,6,6,4,GENERAL|NATION,scripts/zones/Bastok_Markets_[S]/npcs/Blingbrix.lua|scripts/zones/Bastok_Mines/npcs/Boytz.lua|scripts/zones/Port_Bastok/npcs/Numa.lua|scripts/zones/Southern_San_dOria/npcs/Ostalie.lua|scripts/zones/Upper_Jeuno/npcs/Champalpieu.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua
610,BAG_OF_SAN_DORIAN_FLOUR,54,67,1,2,2,2,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua
611,BAG_OF_RYE_FLOUR,36,44,1,4,4,2,GENERAL|GENERAL_FAME|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Selbina/npcs/Dohdjuma.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua
612,BUNCH_OF_KAZHAM_PEPPERS,54,66,1,2,2,1,GENERAL_FAME|GLOBAL_SHOP_STOCK,scripts/globals/shop.lua|scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua
614,BULB_OF_MHAURA_GARLIC,,,0,0,0,0,,scripts/globals/shop.lua
615,STICK_OF_SELBINA_BUTTER,60,60,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
616,PIECE_OF_PIE_DOUGH,1600,1600,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
617,GINGER_ROOT,,,0,0,0,0,,scripts/globals/shop.lua
618,POD_OF_BLUE_PEAS,,,0,0,0,0,,scripts/globals/shop.lua
619,POPOTO,,,0,0,0,0,,scripts/globals/shop.lua
621,POT_OF_CRYING_MUSTARD,25,30,1,1,1,1,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua
622,PINCH_OF_DRIED_MARJORAM,43,52,1,2,2,2,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua
623,HANDFUL_OF_BAY_LEAVES,117,143,1,1,1,1,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Aveline.lua
625,BOTTLE_OF_APPLE_VINEGAR,79,96,1,1,1,1,NATION,scripts/zones/Southern_San_dOria/npcs/Aveline.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua
626,PINCH_OF_BLACK_PEPPER,255,255,1,1,1,0,GENERAL,scripts/globals/shop.lua|scripts/zones/Lower_Jeuno/npcs/Amalasanda.lua
627,POT_OF_MAPLE_SUGAR,36,44,1,2,2,2,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua
628,STICK_OF_CINNAMON,234,286,1,2,2,1,GENERAL_FAME|NATION,scripts/globals/shop.lua|scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua
629,EAR_OF_MILLIONCORN,43,52,1,1,1,1,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua
630,OGRE_PUMPKIN,,,0,0,0,0,,scripts/globals/shop.lua
631,BAG_OF_HORO_FLOUR,40,40,1,1,1,0,GENERAL,scripts/globals/shop.lua|scripts/zones/Lower_Jeuno/npcs/Pawkrix.lua
632,KUKURU_BEAN,108,132,1,1,1,0,GENERAL_FAME,scripts/globals/shop.lua|scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua
633,FLASK_OF_OLIVE_OIL,13,16,1,1,1,1,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Aveline.lua
635,CLUMP_OF_WINDURSTIAN_TEA_LEAVES,,,0,0,0,0,,scripts/globals/shop.lua
